num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
30000,270000,271709.8596418982,270710.12689560815
30000,280000,281647.41121659306,280682.60500753345
30000,290000,291589.3549021758,290657.1172799638
30000,300000,301535.2438705944,300633.44786716293
30000,310000,311484.6897744852,310611.4101896951
30000,320000,321437.35362688074,320590.84229081497
30000,330000,331392.93805946794,330571.6027735291
30000,340000,341351.1811951207,340553.56771387084
30000,350000,351311.85162049683,350536.6281621765
30000,360000,361274.74386318534,360520.68773503666
30000,370000,371239.6750245928,370505.6610253913
30000,380000,381206.4817881616,380491.4721118727
30000,390000,391175.0177756865,390478.05318935047
30000,400000,401145.15137860685,400465.3434858879
30000,410000,411116.76404074725,410453.2884749018
30000,420000,421089.74869469897,420441.83910965535
30000,430000,431064.00824679044,430430.9509974184
30000,440000,441039.45470452146,440420.5841224994
30000,450000,451016.0078053134,450410.7019930864
30000,460000,460993.59449480195,460401.2715703604
30000,470000,470972.14788089547,470392.26261685736
30000,480000,480951.6068398553,480383.64764815284
30000,490000,490931.9152732833,490375.4014935897
30000,500000,500913.02157353,500367.50102960947
30000,510000,510894.87815880735,510359.9249516003
30000,520000,520877.44131176895,520352.6538218703
30000,530000,530860.670643627,530345.6697202343
30000,540000,540844.5285706223,540338.9558863733
30000,550000,550828.9804929661,550332.4970462801
30000,560000,560813.9942098559,560326.2789599431
30000,570000,570799.5398133472,570320.2884333016
30000,580000,580785.5895754824,580314.513311928
30000,590000,590772.1175425036,590308.9421708229
30000,600000,600759.0995428554,600303.5644085892
30000,610000,610746.5129909944,610298.3701289928
30000,620000,620734.3368763732,620293.3502002404
30000,630000,630722.5513571857,630288.4959125979
30000,640000,640711.1379837375,640283.7992592874
30000,650000,650700.0794504371,650279.2527411313
30000,660000,660689.3593842265,660274.8492027866
30000,670000,670678.9625929467,670270.5821244548
30000,680000,680668.8745859376,680266.4451824721
30000,690000,690659.0818783697,690262.4325896824
30000,700000,700649.5716160774,700258.5387537206
30000,710000,710640.331847381,710254.7585790264
30000,720000,720631.3511257024,720251.0870976556
30000,730000,730622.6187681843,730247.5197532894
30000,740000,740614.1245560877,740244.0521254424
30000,750000,750605.8589588472,750240.6801749441
30000,760000,760597.8127992263,760237.399929485
30000,770000,770589.9775387252,770234.2077871175
30000,780000,780582.3448869007,780231.1001429077
30000,790000,790574.907166995,790228.0737701779
30000,800000,800567.6569656994,800225.1254849079
30000,810000,810560.5873350394,810222.2523611647
30000,820000,820553.6915581849,820219.4515094851
30000,830000,830546.9633847416,830216.720323667
30000,840000,840540.3965661847,840214.0560272968
30000,850000,850533.9856446077,850211.4564721477
30000,860000,860527.7249614738,860208.9191567074
30000,870000,870521.6093329737,870206.4419100101
30000,880000,880515.63383745,880204.0226872445
30000,890000,890509.7935911092,890201.6593531346
30000,900000,900504.0841928031,900199.3501336253
30000,910000,910498.5012455313,910197.0931442083
30000,920000,920493.0405608013,920194.8866003468
30000,930000,930487.6982410183,930192.7289057027
30000,940000,940482.4702999456,940190.6182780409
30000,950000,950477.3533168882,950188.5534083862
30000,960000,960472.3437206339,960186.5327499089
30000,970000,970467.4380771683,970184.5548099988
30000,980000,980462.6333594803,980182.6184243142
30000,990000,990457.9263317264,990180.7221449193
30000,1000000,1000453.3141562444,1000178.8648509079
40000,10000,88593.54468238716,61689.34226244282
40000,20000,64557.392696972194,47239.4139970096
40000,30000,60164.287341754425,47364.674918369776
40000,40000,62519.60520703165,52366.075578563185
40000,50000,67860.83100902052,59446.562069529326
40000,60000,74752.59883353091,67568.91967867578
40000,70000,82542.717283528,76275.66125219695
40000,80000,90896.15403204791,85338.31331693563
40000,90000,99624.5130329891,94631.71590772002
40000,100000,108614.26062868787,104082.23665290057
40000,110000,117793.13565177924,113644.03570073888
40000,120000,127113.06850824805,123287.23393554288
40000,130000,136540.89594947777,132991.60120380908
40000,140000,146053.02887360973,142742.99540985428
40000,150000,155632.24682015713,152531.25739000642
40000,160000,165265.69457093297,162348.91585254617
40000,170000,174943.58734618145,172190.3626932234
40000,180000,184658.3494924445,182051.31208632057
40000,190000,194404.02680105797,191928.43631124846
40000,200000,204175.87622634953,201819.1146302324
40000,210000,213970.07394545298,211721.25678054275
40000,220000,223783.50368506796,221633.1764096737
40000,230000,233613.60074572527,231553.49878848312
40000,240000,243458.23560441166,241481.09271588238
40000,250000,253315.6255182168,251415.01921099256
40000,260000,263184.2669225585,261354.4927061356
40000,270000,273062.8829903509,271298.8511958272
40000,280000,282950.3825412721,281247.53303578927
40000,290000,292845.8274871423,291200.05868012324
40000,300000,302748.407140055,301156.0165001715
40000,310000,312657.417070925,311115.0509866113
40000,320000,322572.2425922412,321076.8538648573
40000,330000,332492.3446171669,331041.1562377718
40000,340000,342417.2486978331,341007.7228213491
40000,350000,352346.53539061575,350976.3466399231
40000,360000,362279.8327281042,360946.845120937
40000,370000,372216.809465863,370919.0563920159
40000,380000,382157.1699987982,380892.83677373617
40000,390000,392100.64937935164,390868.0579889738
40000,400000,402047.009588296,400844.60530106653
40000,410000,411996.0361922357,410822.37577139423
40000,420000,421947.53549858514,420801.2767902562
40000,430000,431901.3320781366,430781.22478731675
40000,440000,441857.2668215902,440762.1443162923
40000,450000,451815.19473979913,450743.9667502837
40000,460000,461774.98390891636,460726.6300048952
40000,470000,471736.51350598945,470710.07725724246
40000,480000,481699.67311301385,480694.2568465544
